customer_key,customer_number,customer_name,customer_age,age_group,customer_segment,total_order,recency,avg_order_value,avg_monthly_spen,total_product,total_sales,total_quantity,lifespan
16795,AW00027794,Dawn Kumar,86,above_50,New,2,149,12,25,2,25,2,0
7567,AW00018566,Bryce Peterson,49,40_49,New,3,140,793,2379,3,2379,3,0
17815,AW00028814,Anna Butler,48,40_49,New,3,140,10,31,3,31,3,0
6275,AW00017274,Arturo Lu,55,above_50,New,2,147,7,14,2,14,2,0
12448,AW00023447,Jermaine Weber,40,40_49,New,2,139,3,6,2,6,2,0
9918,AW00020917,Tonya Tang,49,40_49,Regular,3,142,1078,248.7692307692307692,3,3234,3,13
10554,AW00021553,Allen Suri,44,40_49,Regular,4,143,1166,259.2777777777777778,4,4667,4,18
11696,AW00022695,Darren Martin,41,40_49,New,2,149,587,1174,2,1174,2,0
14944,AW00025943,Brianna McDonald,41,40_49,VIP,5,145,1161,232.3200000000000000,5,5808,5,25
15377,AW00026376,Anthony Martinez,67,above_50,New,6,142,20,122,6,122,6,0
10433,AW00021432,Melanie Ward,54,above_50,New,2,149,7,15,2,15,2,0
1407,AW00012406,Ross Gutierrez,50,above_50,New,1,140,35,35,1,35,1,0
17060,AW00028059,Bradley Shen,66,above_50,New,4,145,20,83,4,83,4,0
17478,AW00028477,Kenneth Tang,78,above_50,New,2,140,274,549,2,549,2,0
12890,AW00023889,Sean Carter,54,above_50,New,3,140,23,70,3,70,3,0
14010,AW00025009,Natasha Alonso,74,above_50,New,2,142,7,15,2,15,2,0
3410,AW00014409,Eric Wang,64,above_50,New,2,145,43,86,2,86,2,0
17746,AW00028745,Geoffrey Rana,43,40_49,New,3,140,9,27,3,27,3,0
7130,AW00018129,Elizabeth Rodriguez,62,above_50,New,3,146,32,96,3,96,3,0
16822,AW00027821,Leonard Deng,56,above_50,New,3,150,809,2428,3,2428,3,0
2796,AW00013795,Carl Raje,56,above_50,Regular,3,149,1452,207.4761904761904762,3,4357,3,21
10185,AW00021184,Harold Rodriguez,51,above_50,New,3,143,25,75,3,75,3,0
16023,AW00027022,Anthony Johnson,59,above_50,New,1,147,5,5,1,5,1,0
4579,AW00015578,Diane Gill,44,40_49,New,4,141,1127,410.0000000000000000,4,4510,4,11
8730,AW00019729,Nicole Patterson,81,above_50,New,3,145,12,37.0000000000000000,3,37,3,1
12133,AW00023132,Anthony Lee,62,above_50,New,4,149,40,160,4,160,4,0
6767,AW00017766,Jake Xu,50,above_50,Regular,5,140,823,274.6000000000000000,5,4119,5,15
3900,AW00014899,Rodney Dominguez,63,above_50,New,1,146,5,5,1,5,1,0
16337,AW00027336,George Suri,72,above_50,New,3,148,12,36,3,36,3,0
7328,AW00018327,Jon Sharma,43,40_49,New,2,148,7,14,2,14,2,0
12908,AW00023907,Hector Navarro,52,above_50,New,1,147,1120,1120,1,1120,1,0
15139,AW00026138,Latoya Chander,57,above_50,Regular,3,142,652,108.7222222222222222,3,1957,3,18
9831,AW00020830,Whitney Martinez,59,above_50,Regular,4,145,491,163.8333333333333333,4,1966,4,12
10213,AW00021212,Nicolas Lal,55,above_50,New,3,150,25,75,3,75,3,0
10014,AW00021013,Connor Nelson,61,above_50,New,2,150,274,549,2,549,2,0
8744,AW00019743,Holly Rana,78,above_50,New,3,148,398,1194,3,1194,3,0
6735,AW00017734,Leah Sun,41,40_49,Regular,2,145,2349,180.6923076923076923,2,4698,2,26
12554,AW00023553,Jasmine Anderson,43,40_49,New,1,143,5,5,1,5,1,0
10644,AW00021643,Wyatt Diaz,55,above_50,New,2,140,585,1170,2,1170,2,0
4968,AW00015967,Dakota Diaz,64,above_50,New,1,147,5,5,1,5,1,0
14667,AW00025666,Micheal Munoz,42,40_49,New,2,146,20,40,2,40,2,0
8839,AW00019838,Jared Ramirez,77,above_50,New,4,143,151,605,4,605,4,0
5917,AW00016916,Cheryl Dominguez,51,above_50,New,8,141,304,2435,8,2435,8,0
7735,AW00018734,Barbara Ashe,44,40_49,New,2,141,12,4.0000000000000000,2,24,2,6
11485,AW00022484,Kristy Ruiz,54,above_50,New,4,144,147,589,4,589,4,0
6520,AW00017519,Taylor Rivera,40,40_49,New,2,149,29,59,2,59,2,0
16264,AW00027263,Aaron Kumar,49,40_49,New,1,153,2049,2049,1,2049,1,0
11456,AW00022455,Roy Kapoor,67,above_50,New,2,150,14,29,2,29,2,0
7232,AW00018231,Janet Gutierrez,60,above_50,New,2,140,1207,2415,2,2415,2,0
4227,AW00015226,Lori Moreno,45,40_49,New,2,142,2195,399.1818181818181818,2,4391,2,11
10100,AW00021099,Sandra Liu,40,40_49,New,1,147,21,21,1,21,1,0
12151,AW00023150,Gabriella Allen,49,40_49,New,4,140,12,49,4,49,4,0
5406,AW00016405,Adriana Sai,52,above_50,New,3,150,1087,296.5454545454545455,3,3262,3,11
6695,AW00017694,Joan Carter,41,40_49,New,1,148,5,5,1,5,1,0
18023,AW00029022,Sydney Diaz,68,above_50,New,3,142,21,64,3,64,3,0
15032,AW00026031,Katrina Kumar,49,40_49,New,2,138,11,23,2,23,2,0
17738,AW00028737,Eugene Lin,47,40_49,New,1,150,70,70,1,70,1,0
9639,AW00020638,Thomas Collins,63,above_50,New,3,144,826,2478,3,2478,3,0
5898,AW00016897,Lauren Torres,62,above_50,New,3,149,588,1764,3,1764,3,0
12385,AW00023384,Taylor Wilson,59,above_50,New,2,143,274,549,2,549,2,0
9172,AW00020171,Bailey King,60,above_50,Regular,3,147,646,149.0769230769230769,3,1938,3,13
8410,AW00019409,Savannah Allen,60,above_50,New,3,150,394,1183,3,1183,3,0
13832,AW00024831,Jackson Diaz,49,40_49,New,3,141,799,2398,3,2398,3,0
16387,AW00027386,James Garcia,80,above_50,New,3,144,12,36,3,36,3,0
7018,AW00018017,Kurt Shan,49,40_49,New,1,150,25,25,1,25,1,0
10517,AW00021516,Larry Serrano,75,above_50,New,4,140,775,282.0000000000000000,4,3102,4,11
12114,AW00023113,Elijah Powell,46,40_49,VIP,3,140,1999,222.1111111111111111,3,5997,3,27
12451,AW00023450,Alex Rogers,56,above_50,New,4,143,144,578,4,578,4,0
3024,AW00014023,Beth Carlson,44,40_49,Regular,3,140,525,71.5909090909090909,3,1575,3,22
5087,AW00016086,Charles Watson,49,40_49,New,4,141,601,2407,4,2407,4,0
17514,AW00028513,Molly Fernandez,49,40_49,New,4,143,202,811,4,811,4,0
16770,AW00027769,Marie Madan,52,above_50,New,3,142,258,776,3,776,3,0
16520,AW00027519,Alejandro Li,60,above_50,New,2,140,39,79,2,79,2,0
5901,AW00016900,Miguel Jones,82,above_50,New,2,144,3,7,2,7,2,0
8179,AW00019178,Sarah Miller,47,40_49,New,1,148,25,25,1,25,1,0
10046,AW00021045,Evelyn Prasad,60,above_50,New,2,140,11,23,2,23,2,0
834,AW00011833,Oscar Price,43,40_49,New,11,140,21,48.0000000000000000,11,240,11,5
15200,AW00026199,Matthew White,45,40_49,New,1,150,25,25,1,25,1,0
2349,AW00013348,Noah Young,77,above_50,Regular,6,147,769,307.7333333333333333,6,4616,6,15
9942,AW00020941,Arturo Guo,44,40_49,New,3,150,42,126,3,126,3,0
7143,AW00018142,Riley Bradley,65,above_50,New,2,141,12,24,2,24,2,0
14467,AW00025466,Janet Young,54,above_50,New,1,146,5,5,1,5,1,0
2047,AW00013046,Jonathan Rodriguez,67,above_50,New,3,145,21,21.6666666666666667,3,65,3,3
16536,AW00027535,Ian Cook,55,above_50,New,1,152,2049,2049,1,2049,1,0
14506,AW00025505,Curtis Zhou,41,40_49,New,2,143,19,39,2,39,2,0
6772,AW00017771,Holly Chandra,62,above_50,New,3,150,23,70,3,70,3,0
10136,AW00021135,Raul Raji,39,30_39,New,5,148,20,104,5,104,5,0
9138,AW00020137,Jarrod Fernandez,58,above_50,New,4,140,19,79,4,79,4,0
17243,AW00028242,Madison Butler,55,above_50,New,2,144,3,7,2,7,2,0
15240,AW00026239,Kaitlyn Turner,45,40_49,New,3,141,17,52,3,52,3,0
3312,AW00014311,Erik Alvarez,42,40_49,New,5,144,27,27.6000000000000000,5,138,5,5
8769,AW00019768,Christopher Jackson,39,30_39,New,4,148,285,1143,4,1143,4,0
4386,AW00015385,Destiny Reed,53,above_50,New,2,148,3,7,2,7,2,0
13220,AW00024219,Tina Lopez,51,above_50,New,4,144,608,2433,4,2433,4,0
456,AW00011455,Ross Sanz,45,40_49,VIP,5,146,1628,370.0909090909090909,5,8142,5,22
11984,AW00022983,Maria Bennett,40,40_49,New,2,145,3,7,2,7,2,0
2344,AW00013343,Melanie Bradley,71,above_50,New,6,144,786,2360.0000000000000000,6,4720,6,2
3500,AW00014499,Samuel Flores,82,above_50,New,3,141,5,15,3,15,3,0
5494,AW00016493,Brenda Fernandez,66,above_50,Regular,3,140,1399,119.9142857142857143,3,4197,3,35
10168,AW00021167,Kara Becker,39,30_39,Regular,3,143,1552,245.1578947368421053,3,4658,3,19
17961,AW00028960,Jacquelyn Vazquez,47,40_49,New,3,139,16,50,3,50,3,0
15167,AW00026166,Brett Van,63,above_50,New,3,139,43,129,3,129,3,0
17816,AW00028815,Lauren James,43,40_49,New,3,141,10,31,3,31,3,0
5363,AW00016362,Joshua Smith,64,above_50,New,4,148,620,2482,4,2482,4,0
9557,AW00020556,Glenn Sun,57,above_50,Regular,3,141,1041,173.6111111111111111,3,3125,3,18
2186,AW00013185,William Lee,77,above_50,New,8,145,18,37.5000000000000000,8,150,8,4
16418,AW00027417,Edwin She,72,above_50,New,1,142,21,21,1,21,1,0
8836,AW00019835,Jordan Allen,78,above_50,New,2,140,39,79,2,79,2,0
11558,AW00022557,Jason Scott,63,above_50,New,1,144,5,5,1,5,1,0
17309,AW00028308,Hector Serrano,50,above_50,New,4,147,147,589,4,589,4,0
9240,AW00020239,Jill Ortega,41,40_49,VIP,5,146,1218,320.6842105263157895,5,6093,5,19
4695,AW00015694,Stephanie Diaz,66,above_50,New,5,139,21,27.0000000000000000,5,108,5,4
4449,AW00015448,Omar She,58,above_50,New,4,139,13,17.6666666666666667,4,53,4,3
14372,AW00025371,Renee Gomez,42,40_49,New,1,162,2182,2182,1,2182,1,0
8263,AW00019262,Kari Sanchez,77,above_50,New,1,150,25,25,1,25,1,0
7295,AW00018294,Denise Prasad,60,above_50,New,3,141,26,13.0000000000000000,3,78,3,6
10039,AW00021038,Pedro Lopez,50,above_50,New,2,140,287,574,2,574,2,0
4945,AW00015944,Damien Lu,55,above_50,New,6,143,539,359.4444444444444444,6,3235,6,9
3520,AW00014519,Denise Rana,41,40_49,New,3,149,27,81,3,81,3,0
5688,AW00016687,Lawrence Romero,53,above_50,VIP,5,151,1214,263.9130434782608696,5,6070,5,23
12145,AW00023144,Zachary Alexander,47,40_49,New,2,146,274,549,2,549,2,0
13241,AW00024240,Edwin Hu,74,above_50,New,1,140,5,5,1,5,1,0
36,AW00011035,Wendy Dominguez,72,above_50,VIP,5,141,1290,195.4848484848484848,5,6451,5,33
1303,AW00012302,Kevin Coleman,73,above_50,VIP,12,139,674,505.6875000000000000,12,8091,12,16
15832,AW00026831,Drew Raje,53,above_50,New,2,151,632,1265,2,1265,2,0
7106,AW00018105,Destiny Brooks,63,above_50,New,2,148,20,40,2,40,2,0
6845,AW00017844,Martha Zeng,45,40_49,New,5,147,39,98.0000000000000000,5,196,5,2
3942,AW00014941,Emma Patterson,53,above_50,VIP,7,140,980,245.1785714285714286,7,6865,7,28
9773,AW00020772,Samantha Garcia,56,above_50,New,3,139,24,73,3,73,3,0
4345,AW00015344,Luke Russell,68,above_50,New,1,148,5,5,1,5,1,0
17220,AW00028219,Chad Goel,52,above_50,New,2,140,20,40,2,40,2,0
16986,AW00027985,Michele Shen,49,40_49,New,1,141,540,540,1,540,1,0
8709,AW00019708,April Luo,84,above_50,New,1,146,565,565,1,565,1,0
13569,AW00024568,Jose Mitchell,69,above_50,New,2,145,7,14,2,14,2,0
5019,AW00016018,Emma Henderson,40,40_49,New,3,150,30,90,3,90,3,0
18288,AW00029287,Suzanne Lin,55,above_50,New,1,150,5,5,1,5,1,0
12859,AW00023858,Jonathan Powell,51,above_50,Regular,4,150,1178,294.5000000000000000,4,4712,4,16
10978,AW00021977,Phillip Malhotra,56,above_50,New,3,146,25,75,3,75,3,0
5965,AW00016964,Gavin Wood,50,above_50,New,6,146,18,27.2500000000000000,6,109,6,4
8869,AW00019868,Kyle Jenkins,71,above_50,New,2,141,60,120,2,120,2,0
18463,AW00029462,Clinton Hernandez,40,40_49,New,5,142,171,855,5,855,5,0
14363,AW00025362,Makayla Bailey,55,above_50,New,2,142,375,751,2,751,2,0
15307,AW00026306,Kyle Holt,45,40_49,New,3,150,933,280.0000000000000000,3,2800,3,10
4104,AW00015103,Jonathan Lopez,66,above_50,New,6,140,18,12.0000000000000000,6,108,6,9
13139,AW00024138,Kristy Gutierrez,44,40_49,New,3,142,398,1194,3,1194,3,0
15786,AW00026785,Raul Raje,82,above_50,New,3,147,25,75,3,75,3,0
17960,AW00028959,Jimmy Ashe,48,40_49,New,2,148,7,15,2,15,2,0
5064,AW00016063,Francisco Kapoor,44,40_49,New,1,145,5,5,1,5,1,0
9566,AW00020565,Tasha Yuan,75,above_50,New,3,145,21,65,3,65,3,0
14,AW00011013,Ian Jenkins,46,40_49,New,5,139,22,12.6666666666666667,5,114,5,9
7997,AW00018996,Katherine Turner,72,above_50,New,1,139,70,70,1,70,1,0
4723,AW00015722,Angela Jenkins,45,40_49,New,4,141,1112,404.3636363636363636,4,4448,4,11
